run_folder,algorithm,var_nm3,var_nm10,var_nm4,var_wnm2,var_wpm5,var_lpm5,var_wnm0,var_lpm0,var_capv,obj_Gain,obj_PM,pass_fail,run_id,is_real
nsga2_20260828_111115,nsga2,6.272966629600457,17.529722988351082,13.515600719301803,3.428641157959137e-05,5.2262090300139086e-05,4.906338197662106e-06,5.1252569743445513e-05,3.6429434199828635e-06,2.5534063413595052e-12,80.49463983104617,109.1987077384453,FAIL,20260828_111115,0
nsga2_20260828_111115,nsga2,9.96448600662405,16.82303538663286,17.74654309029023,2.9312194567714625e-05,3.878462101637711e-05,5.076544925790443e-06,4.0255707429921175e-05,6.024392183960744e-07,9.359036402993315e-12,67.0908209964263,123.35176162930455,FAIL,20260828_111115,0
nsga2_20260828_112108,nsga2,3.7788637477967715,18.3069086887799,5.296174239816021,3.4354316201541814e-05,3.7182753760204613e-05,9.713388497960056e-06,5.19280710976019e-05,3.5631642082854033e-06,3.541901654482116e-12,62.43,117.6,FAIL,20260828_112108,1
nsga2_20260828_112108,nsga2,5.880222184433576,16.92980173148797,8.396327706106517,2.772330587927425e-06,1.008856563407242e-05,2.9082855745722014e-06,1.844814162570429e-05,5.854718723134718e-07,5.9178165405819424e-12,47.260000000000005,141.3,FAIL,20260828_112108,1
nsga2_20260828_112108,nsga2,5.880222184433576,16.881603634873557,9.590992146161126,2.9082084092839338e-06,8.043390376489043e-05,2.9082855745722014e-06,2.8330047680653704e-05,9.221432731819594e-06,5.4768199348110936e-12,80.08,71.0,FAIL,20260828_112108,1
nsga2_20260828_112108,nsga2,6.272966629600457,9.693619715492229,13.822066811912656,3.428641157959137e-05,5.250422785899477e-05,4.911539410358523e-06,5.101034719347641e-05,3.583740721448685e-06,2.296234054326523e-12,80.08,71.0,FAIL,20260828_112108,1
nsga2_20260828_112108,nsga2,3.577449956940077,5.729497814238431,8.273668664837738,3.095604004928021e-05,4.3516617121775524e-05,1.4811598912341082e-06,3.414970285087154e-05,4.108477571365558e-06,5.113174480231311e-12,80.08,71.0,FAIL,20260828_112108,1
nsga2_20260828_112108,nsga2,6.141779366075627,9.609862776796499,13.822066811912656,4.2638110934968094e-05,5.482291848681495e-05,4.911539410358523e-06,5.0937225634465244e-05,3.5840848214408646e-06,2.5534063413595052e-12,80.08,71.0,FAIL,20260828_112108,1
nsga2_20260828_112108,nsga2,10.293537887458722,17.486551595971562,9.298577953363539,2.9525016318303692e-05,8.005595070342331e-05,5.052566367142585e-06,2.7473290149777068e-05,2.7925384191963783e-06,7.85713686592679e-12,72.47,115.3,FAIL,20260828_112108,1
nsga2_20260828_112108,nsga2,3.20651051682038,18.238628937412738,8.514630749155298,2.9288619153485397e-05,3.7182753760204613e-05,9.713388497960056e-06,5.19280710976019e-05,3.5631642082854033e-06,6.004760904062785e-12,72.47,115.3,FAIL,20260828_112108,1
nsga2_20260828_112108,nsga2,16.51795473089381,17.754864978704656,9.046811463489908,4.2462211604531126e-05,3.832948327735664e-05,7.843806416238401e-06,3.4273636021323236e-05,2.3323332349951525e-06,5.115293441436254e-12,72.47,115.3,FAIL,20260828_112108,1
nsga2_20260828_112108,nsga2,5.880222184433576,16.881603634873557,9.590992146161126,2.9082084092839338e-06,8.043390376489043e-05,2.9082855745722014e-06,2.8330047680653704e-05,9.221432731819594e-06,5.544087268842987e-12,72.47,115.3,FAIL,20260828_112108,1
nsga2_20260828_114605,nsga2,3.1062092524234535,16.77298100179959,17.880692120360976,1.896641146742638e-05,7.261114645643987e-05,7.5459566234523e-06,4.4157840076783945e-05,8.629694560520226e-06,9.809207644557905e-12,79.87987558849856,104.9991320581793,FAIL,20260828_114605,0
nsga2_20260828_114605,nsga2,6.272966629600457,16.8101434101774,9.5206802495686,3.428641157959137e-05,5.2229997228700256e-05,4.895383045458236e-06,5.101034719347641e-05,3.0537223730025977e-06,2.196126616373283e-12,70.94319381039126,107.81118454838696,FAIL,20260828_114605,0
nsga2_20260828_114605,nsga2,3.1062092524234535,16.623381510357703,17.880692120360976,1.896641146742638e-05,7.261114645643987e-05,7.5459566234523e-06,4.4157840076783945e-05,8.629694560520226e-06,9.809207644557905e-12,79.87987568658535,104.32402358941415,FAIL,20260828_114605,0
